Comment,Designator,Footprint,LCSC
"LTC4316CMS#PBF","IC1","LTC4316:SOP50P490X110-10N","C688145"
"Conn_01x04","J1,J2","Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal","C160404"
